Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan(ton);Sisa Makanan (%);Kayu-Ranting (%);Kertas-Karton (%);Plastik(%);Logam(%);Kain(%);Karet- Kulit (%);Kaca(%);Lainnya(%)
2021;Kalimantan Selatan;Kota Banjarmasin;184.856,04;55,89;0,64;9,39;12,77;1,36;14,93;1,63;2,71;0,68
2021;Kalimantan Selatan;Kota Banjarbaru;60.120,18;48,30;4,20;16,00;23,70;0,50;0,30;0,40;0,10;6,50
2021;Kalimantan Timur;Kab. Paser;42.080,85;54,99;0,22;10,20;13,64;1,38;13,56;1,20;3,52;1,29
2021;Kalimantan Timur;Kab. Kutai Kartanegara;81.243,53;73,92;0,98;10,43;7,86;2,04;1,57;0,55;1,75;0,90
2021;Kalimantan Timur;Kab. Kutai Timur;77.461,58;43,00;20,00;7,00;22,00;2,00;1,00;2,00;2,00;1,00
2021;Kalimantan Timur;Kab. Penajam Paser Utara;33.766,52;46,13;1,09;20,87;29,83;0,22;0,02;0,67;0,83;0,34
2021;Kalimantan Timur;Kota Balikpapan;181.479,86;42,30;6,36;10,26;7,20;3,87;2,94;0,98;6,56;19,53
2021;Kalimantan Timur;Kota Samarinda;212.376,71;53,39;7,00;17,00;19,90;0,65;0,62;0,06;0,92;0,46
2021;Kalimantan Timur;Kota Bontang;37.894,33;44,12;6,00;27,50;18,00;2,10;0,03;0,25;1,05;0,95
2021;Kalimantan Utara;Kab. Nunukan;15.260,25;46,40;8,20;23,40;21,30;0,20;0,20;0,10;0,10;0,10
2021;Kalimantan Utara;Kab. Tana Tidung;4.832,89;;;;;;;;;
2021;Sulawesi Utara;Kab. Kepulauan Sangihe;20.332,25;51,10;4,89;5,20;26,00;0,40;3,30;0,50;2,00;6,61
2021;Sulawesi Utara;Kab. Minahasa Selatan;34.523,60;20,00;12,00;12,00;36,00;4,00;4,00;5,00;2,00;5,00
2021;Sulawesi Utara;Kab. Minahasa Tenggara;16.559,47;36,08;9,68;12,16;11,04;4,28;4,26;3,24;5,14;14,12
2021;Sulawesi Utara;Kab. Bolaang Mongondow Utara;15.167,94;2,00;15,00;1,00;8,00;0,50;1,00;0,30;0,50;71,70
2021;Sulawesi Utara;Kab. Bolaang Mongondow Selatan;12.736,86;20,00;10,00;10,00;25,00;5,00;12,00;10,00;5,00;3,00
2021;Sulawesi Utara;Kota Manado;124.059,81;47,70;1,14;18,66;19,48;0,26;1,54;1,49;1,85;7,88
2021;Sulawesi Utara;Kota Bitung;57.874,58;48,20;2,05;18,03;19,07;0,36;1,48;1,37;1,83;7,61
2021;Sulawesi Utara;Kota Tomohon;26.136,88;;;;;;;;;
2021;Sulawesi Utara;Kota Kotamobagu;31.620,68;53,50;5,00;11,80;8,50;5,70;3,60;2,60;2,80;6,50
2021;Sulawesi Tengah;Kab. Donggala;44.400,06;35,00;10,00;20,00;13,00;6,00;3,00;3,00;3,00;7,00
2021;Sulawesi Tengah;Kab. Parigi Moutong;82.341,99;;;;;;;;;
2021;Sulawesi Tengah;Kab. Sigi;47.008,35;;;;;;;;;0,00
2021;Sulawesi Tengah;Kab. Banggai Laut;12.933,78;;;;;;;;;
2021;Sulawesi Tengah;Kota Palu;68.228,90;;;;;;;;;
2021;Sulawesi Selatan;Kab. Kepulauan Selayar;20.488,47;;;;;;;;;
2021;Sulawesi Selatan;Kab. Bulukumba;63.488,39;15,00;10,00;25,00;20,00;5,00;5,00;5,00;5,00;10,00
2021;Sulawesi Selatan;Kab. Bantaeng;29.446,45;30,13;27,50;11,00;14,00;1,24;3,00;2,00;1,13;10,00
2021;Sulawesi Selatan;Kab. Jeneponto;58.635,06;27,00;18,00;10,00;18,00;6,00;1,50;5,00;1,50;13,00
2021;Sulawesi Selatan;Kab. Sinjai;39.534,76;31,50;13,00;31,09;14,68;8,20;0,87;0,44;0,08;0,14
2021;Sulawesi Selatan;Kab. Bone;147.231,88;73,20;0,50;10,10;8,70;3,10;0,30;1,10;1,10;1,90
2021;Sulawesi Selatan;Kab. Maros;57.950,90;73,98;7,90;3,18;7,86;2,21;0,57;0,55;0,25;3,50
2021;Sulawesi Selatan;Kab. Pangkajene Kepulauan;50.483,15;63,13;10,83;8,99;7,29;6,50;0,72;0,19;1,55;0,80
2021;Sulawesi Selatan;Kab. Barru;27.722,04;57,00;12,50;6,00;15,00;2,50;1,00;1,00;1,00;4,00
2021;Sulawesi Selatan;Kab. Soppeng;34.707,12;;;;;;;;;
2021;Sulawesi Selatan;Kab. Wajo;55.348,60;41,03;17,34;7,20;17,02;2,10;3,90;6,40;2,90;2,11
2021;Sulawesi Selatan;Kab. Sidenreng Rappang;46.718,54;56,00;9,60;6,20;6,60;4,50;3,60;4,20;4,40;4,90
2021;Sulawesi Selatan;Kab. Pinrang;64.570,25;;;;;;;;;
2021;Sulawesi Selatan;Kab. Enrekang;41.596,68;;;;;;;;;
2021;Sulawesi Selatan;Kab. Luwu Timur;43.874,61;40,00;10,00;25,00;15,00;3,00;1,00;2,00;2,00;2,00
2021;Sulawesi Selatan;Kota Makassar;373.653,93;;;;;;;;;
2021;Sulawesi Selatan;Kota Parepare;27.832,35;51,80;11,35;12,45;11,20;3,75;1,95;2,10;2,75;2,65
2021;Sulawesi Selatan;Kota Palopo;33.704,28;30,00;25,00;20,00;15,00;8,00;;;;2,00
2021;Sulawesi Tenggara;Kab. Wakatobi;28.902,67;;;;;;;;;
2021;Sulawesi Tenggara;Kota Kendari;96.542,67;43,65;17,44;16,78;17,25;1,54;0,72;1,06;1,16;0,40
2021;Gorontalo;Kota Gorontalo;51.541,50;21,00;10,00;10,00;30,00;8,00;5,00;7,00;9,00;
2021;Sulawesi Barat;Kab. Mamuju;45.786,99;;;;;;;;;
2021;Sulawesi Barat;Kab. Majene;25.463,42;;;;;;;;;
2021;Sulawesi Barat;Kab. Mamuju Tengah;22.864,48;;;;;;;;;
2021;Maluku;Kab. Maluku Tengah;62.165,92;;;;;;;;;
2021;Maluku;Kab. Buru Selatan;11.296,60;33,00;22,00;11,00;23,00;2,00;1,00;1,00;2,00;5,00
2021;Maluku;Kota Tual;19.611,92;8,50;17,50;10,80;15,80;5,60;9,30;7,00;6,70;18,80
2021;Maluku Utara;Kota Tidore Kepulauan;16.834,53;34,00;25,00;12,00;11,80;2,30;0,80;1,50;5,80;6,80
2021;Papua;Kab. Jayapura;30.746,87;40,00;;20,00;20,00;3,00;;;;
2021;Papua;Kab. Biak Numfor;21.323,59;12,88;39,22;22,35;11,63;10,46;0,01;0,13;3,32;
2021;Papua;Kab. Keerom;8.996,96;10,00;10,00;5,00;45,00;10,00;5,00;5,00;5,00;5,00
2021;Papua;Kota Jayapura;79.496,56;67,39;10,50;4,78;6,59;4,22;2,04;1,09;0,45;2,94
2021;Papua Barat;Kab. Manokwari;58.405,66;44,00;;11,00;26,00;;;;;19,00
2021;Papua Selatan;Kab. Asmat;16.298,27;20,00;10,00;15,00;40,00;4,00;3,00;3,00;3,00;2,00
2021;Papua Tengah;Kab. Nabire;24.693,86;62,56;15,13;4,60;11,32;0,48;1,95;;1,79;2,17
2021;Papua Pegunungan;Kab. Lanny Jaya;29.483,24;;;;;;;;;
2021;Papua Barat Daya;Kab. Sorong Selatan;8.167,39;;;;;;;;;
2021;Papua Barat Daya;Kab. Tambrauw;4.143,33;;;;;;;;;
2020;Aceh;Kab. Aceh Timur;21.023,49;37,00;14,00;5,00;26,00;5,00;3,00;2,00;4,00;4,00
2020;Aceh;Kab. Aceh Tengah;37.067,15;22,00;18,00;7,00;26,00;3,00;11,00;5,00;5,00;3,00
2020;Aceh;Kab. Simeulue;15.897,10;5,18;13,05;11,93;35,73;16,88;6,65;5,55;2,03;3,00
2020;Aceh;Kab. Aceh Jaya;16.876,51;;;;;;;;;
2020;Aceh;Kab. Bener Meriah;23.597,54;20,00;20,00;10,00;15,00;5,00;10,00;5,00;5,00;10,00
2020;Aceh;Kota Banda Aceh;88.800,12;35,20;11,50;3,00;6,80;4,50;7,50;9,30;4,50;17,70
2020;Aceh;Kota Sabang;9.624,82;;;;;;;;;
2020;Aceh;Kota Langsa;34.737,78;18,00;21,00;4,00;8,00;13,00;10,00;7,00;8,00;11,00
2020;Sumatera Utara;Kab. Langkat;150.409,49;37,00;31,00;24,40;7,00;0,20;0,20;0,20;;
2020;Sumatera Utara;Kab. Deli Serdang;400.716,89;20,50;24,00;13,80;20,20;6,00;5,00;3,00;2,00;5,50
2020;Sumatera Utara;Kab. Asahan;228.071,97;1,16;61,40;7,18;13,04;2,00;5,48;0,44;1,33;7,97
2020;Sumatera Utara;Kab. Dairi;41.508,38;55,53;10,99;12,48;19,26;0,32;0,35;0,20;0,53;0,34
2020;Sumatera Utara;Kab. Humbang Hasundutan;20.825,37;12,00;55,00;10,00;13,00;3,00;1,00;0,20;0,80;5,00
2020;Sumatera Utara;Kab. Samosir;32.370,63;24,00;10,00;20,00;30,00;6,20;2,00;1,00;0,80;6,00
2020;Sumatera Utara;Kota Medan;622.206,89;48,00;5,00;17,00;14,00;1,00;4,00;2,00;1,00;8,00
2020;Sumatera Utara;Kota Sibolga;22.388,44;;;;;;;;;
2020;Sumatera Utara;Kota Tebing Tinggi;44.726,04;62,70;1,73;11,43;16,65;0,73;2,60;0,71;1,83;1,62
2020;Sumatera Barat;Kab. Pesisir Selatan;56.034,44;20,40;19,60;23,00;19,00;16,00;0,42;1,58;;
2020;Sumatera Barat;Kab. Sijunjung;34.989,67;20,80;18,60;38,40;19,60;1,90;0,30;0,40;;
2020;Sumatera Barat;Kab. Tanah Datar;43.959,16;69,34;;8,63;6,00;2,24;1,57;;3,33;8,89
2020;Sumatera Barat;Kab. Agam;72.213,64;;;;;;;;;
2020;Sumatera Barat;Kab. Lima Puluh Kota;56.536,46;40,00;17,00;10,00;16,00;4,00;3,00;2,00;2,00;6,00
2020;Sumatera Barat;Kab. Dharmasraya;35.605,56;;;20,00;30,00;45,00;;;;
2020;Sumatera Barat;Kab. Pasaman Barat;64.783,41;30,00;10,00;20,00;30,00;5,00;;;;5,00
2020;Sumatera Barat;Kota Padang;232.259,72;62,00;8,30;6,10;12,60;0,20;2,80;1,50;2,40;4,10
2020;Sumatera Barat;Kota Solok;18.505,87;46,07;11,56;9,28;22,32;0,60;0,54;0,10;1,10;8,43
2020;Sumatera Barat;Kota Sawahlunto;6.852,82;;;;;;;;;
2020;Sumatera Barat;Kota Padang Panjang;17.019,51;43,15;23,56;14,35;12,67;1,50;0,95;0,80;1,19;1,83
2020;Sumatera Barat;Kota Bukittinggi;45.368,41;61,81;1,10;16,79;17,74;0,46;0,90;;0,51;0,69
2020;Sumatera Barat;Kota Payakumbuh;35.679,04;51,62;7,43;11,42;21,54;0,65;1,56;0,57;0,87;4,34
2020;Riau;Kab. Kampar;128.435,47;20,00;10,00;5,00;35,00;10,00;5,00;5,00;5,00;5,00
2020;Riau;Kab. Indragiri Hilir;109.472,70;;;36,00;33,00;12,00;;;;
2020;Riau;Kab. Pelalawan;55.158,80;10,00;18,00;20,00;30,00;6,00;3,00;5,00;3,00;5,00
2020;Riau;Kab. Siak;69.739,82;39,00;15,00;10,00;26,00;1,00;2,00;2,00;3,00;2,00
2020;Riau;Kab. Kuantan Singingi;48.784,73;;;;;;;;;
2020;Riau;Kota Pekanbaru;400.461,54;;;;;;;;;
2020;Riau;Kota Dumai;58.368,43;;;;;;;;;
2020;Jambi;Kab. Merangin;71.332,50;26,50;15,00;14,50;23,00;4,50;3,00;2,50;1,00;10,00
2020;Jambi;Kab. Sarolangun;40.612,09;;;;;;;;;
2020;Jambi;Kab. Batanghari;44.750,17;36,00;15,00;18,80;14,00;3,20;3,00;2,00;2,00;6,00
2020;Jambi;Kab. Muaro Jambi;29.792,97;;;;;;;;;
2020;Jambi;Kab. Tanjung Jabung Barat;60.942,59;5,00;8,00;30,00;30,00;3,00;6,00;10,00;2,00;6,00
2020;Jambi;Kab. Bungo;55.610,38;63,13;13,25;1,42;4,48;5,88;3,83;5,73;1,38;0,90
2020;Jambi;Kab. Tebo;49.299,67;;;;;;;;;
2020;Jambi;Kota Sungai Penuh;17.916,39;;;;;;;;;
2020;Sumatera Selatan;Kab. Ogan Komering Ulu;54.329,96;;;;;;;;;
2020;Sumatera Selatan;Kab. Muara Enim;148.345,86;61,02;8,07;7,38;17,18;1,14;1,33;0,36;0,31;3,21
2020;Sumatera Selatan;Kab. Musi Rawas;103.783,08;41,18;5,08;1,07;9,63;19,79;0,53;3,74;17,38;1,60
2020;Sumatera Selatan;Kab. Musi Banyuasin;94.593,69;58,30;4,80;9,10;21,20;1,10;3,00;0,80;0,80;0,90
2020;Sumatera Selatan;Kab. Banyuasin;207.426,14;38,12;8,46;16,65;13,39;0,95;1,25;1,97;1,26;17,95
2020;Sumatera Selatan;Kab. Ogan Komering Ulu Timur;176.275,84;1,00;5,00;7,00;7,00;1,00;1,00;2,00;1,00;75,00
2020;Sumatera Selatan;Kab. Ogan Ilir;107.510,06;30,00;15,00;10,00;10,00;5,00;5,00;5,00;5,00;15,00
2020;Sumatera Selatan;Kab. Empat Lawang;64.711,00;;;;;;;;;
2020;Sumatera Selatan;Kota Palembang;426.390,66;55,00;5,00;10,00;14,00;5,00;4,00;3,00;2,00;2,00
2020;Sumatera Selatan;Kota Prabumulih;34.479,54;61,50;5,80;2,70;25,40;0,40;0,90;0,20;0,30;2,80
2020;Bengkulu;Kab. Lebong;15.726,97;;;;;;;;;
2020;Bengkulu;Kab. Kepahiang;20.498,84;;;;;;;;;
2020;Bengkulu;Kab. Bengkulu Tengah;21.214,90;20,20;45,00;15,00;18,00;1,00;0,50;0,10;0,20;
2020;Lampung;Kab. Lampung Barat;44.805,94;25,00;20,00;15,00;35,00;2,00;0,50;0,50;0,20;1,80
2020;Lampung;Kab. Way Kanan;70.036,49;0,58;0,16;0,05;0,12;0,00;0,04;0,02;0,02;0,01
2020;Lampung;Kab. Pesawaran;65.467,86;29,00;31,00;10,00;20,00;3,00;1,00;2,00;2,00;2,00
2020;Lampung;Kota Bandar Lampung;276.649,16;40,40;12,90;11,70;17,40;3,10;2,50;1,80;2,30;7,90
2020;Lampung;Kota Metro;37.651,79;56,47;6,24;9,40;24,07;0,56;1,25;0,27;0,88;0,86
2020;Kepulauan Bangka Belitung;Kab. Bangka;46.947,32;26,17;11,50;30,86;18,82;0,62;3,79;0,42;0,66;7,16
2020;Kepulauan Bangka Belitung;Kab. Belitung;25.910,91;0,50;75,00;0,30;0,60;0,03;0,25;0,02;0,30;23,00
2020;Kepulauan Bangka Belitung;Kab. Bangka Tengah;29.160,14;40,00;14,00;10,00;15,00;2,00;12,00;4,00;1,00;2,00
2020;Kepulauan Bangka Belitung;Kab. Bangka Barat;29.058,53;;;;;;;;;
2020;Kepulauan Bangka Belitung;Kab. Belitung Timur;18.421,99;;;;;;;;;
2020;Kepulauan Bangka Belitung;Kota Pangkal Pinang;55.416,16;51,73;12,80;7,77;9,60;2,28;3,88;6,22;2,26;3,46
2020;Kepulauan Riau;Kab. Bintan;19.499,65;38,80;5,50;24,40;12,40;0,50;5,50;3,90;2,50;6,50
2020;Kepulauan Riau;Kab. Karimun;64.677,53;23,00;19,00;24,00;24,50;4,00;2,50;1,50;1,20;0,30
2020;Kepulauan Riau;Kab. Natuna;11.366,74;;;;;;;;;
2020;Kepulauan Riau;Kab. Lingga;10.157,55;41,20;13,60;18,30;10,20;1,80;8,90;3,90;1,90;0,20
2020;Kepulauan Riau;Kab. Kepulauan Anambas;4.702,70;;;;;;;;;
2020;Kepulauan Riau;Kota Batam;305.679,18;49,00;9,00;10,00;19,00;1,00;2,00;0,00;1,00;9,00
2020;Kepulauan Riau;Kota Tanjung Pinang;54.013,05;21,00;37,00;7,00;25,00;3,00;2,00;2,00;1,00;2,00
2020;DKI Jakarta;Kab. Adm. Kep. Seribu;6.329,24;23,02;2,97;0,18;0,90;0,08;;;0,65;72,20
2020;DKI Jakarta;Kota Adm. Jakarta Pusat;308.331,29;;;;;;;;;
2020;DKI Jakarta;Kota Adm. Jakarta Utara;489.481,03;;;;;;;;;
2020;DKI Jakarta;Kota Adm. Jakarta Barat;719.768,00;69,77;5,78;3,08;2,97;1,49;2,99;1,25;0,01;12,66
2020;DKI Jakarta;Kota Adm. Jakarta Selatan;701.164,63;;;;;;;;;
2020;DKI Jakarta;Kota Adm. Jakarta Timur;829.738,03;;;;;;;;;
2020;Jawa Barat;Kab. Bandung;482.291,89;43,00;10,00;9,00;20,00;2,00;1,00;;1,00;14,00
2020;Jawa Barat;Kab. Ciamis;209.920,70;26,40;0,40;33,00;5,00;10,70;6,40;1,70;16,10;0,30
2020;Jawa Barat;Kab. Cirebon;448.368,18;;;;;;;;;
2020;Jawa Barat;Kab. Sumedang;160.816,27;62,27;1,97;9,25;12,57;1,77;0,91;1,25;1,09;8,92
2020;Jawa Barat;Kab. Bekasi;693.586,51;;;;;;;;;
2020;Jawa Barat;Kab. Pangandaran;62.523,33;;;;;;;;;
2020;Jawa Barat;Kota Bogor;245.922,33;20,00;33,30;19,70;10,00;1,50;3,50;1,00;1,00;10,00
2020;Jawa Barat;Kota Sukabumi;65.424,09;46,62;15,78;7,97;12,45;0,91;1,66;0,84;1,91;11,86
2020;Jawa Barat;Kota Bandung;562.034,59;44,52;3,98;13,12;16,70;0,90;4,75;2,38;1,97;11,68
2020;Jawa Barat;Kota Depok;472.854,23;62,95;0,57;6,10;21,36;0,14;0,57;0,50;0,57;7,24
2020;Jawa Barat;Kota Cimahi;99.782,38;;;;;;;;;
2020;Jawa Barat;Kota Tasikmalaya;106.688,51;48,70;;5,80;5,40;0,20;1,90;;6,30;31,60
2020;Jawa Barat;Kota Banjar;30.566,85;42,97;10,84;9,41;24,62;1,02;1,18;0,05;2,81;7,09
2020;Jawa Tengah;Kab. Cilacap;343.019,17;57,67;10,63;9,71;16,42;1,33;1,25;0,51;0,65;1,83
2020;Jawa Tengah;Kab. Purworejo;105.146,86;3,00;67,00;6,00;9,00;4,00;0,50;0,30;1,00;8,20
2020;Jawa Tengah;Kab. Wonosobo;128.352,10;40,00;21,50;15,00;20,00;0,20;0,20;0,10;1,00;2,00
2020;Jawa Tengah;Kab. Magelang;248.530,33;37,80;3,90;26,20;17,90;1,30;1,10;0,80;2,40;8,60
2020;Jawa Tengah;Kab. Boyolali;105.094,61;;;;;;;;;
2020;Jawa Tengah;Kab. Sukoharjo;132.863,50;60,40;2,63;8,14;15,20;3,18;3,80;4,10;1,20;1,35
2020;Jawa Tengah;Kab. Wonogiri;159.663,85;25,00;10,00;20,00;25,00;5,00;5,00;2,50;5,00;2,50
2020;Jawa Tengah;Kab. Sragen;195.023,44;74,70;0,80;8,10;11,30;0,50;1,90;0,30;1,80;0,30
2020;Jawa Tengah;Kab. Blora;135.568,25;4,00;10,00;35,00;40,00;3,00;2,00;2,00;2,00;2,00
2020;Jawa Tengah;Kab. Rembang;86.905,62;38,12;1,59;13,38;34,45;0,93;1,88;0,77;1,33;7,55
2020;Jawa Tengah;Kab. Pati;239.060,58;;;;;;;;;
2020;Jawa Tengah;Kab. Kudus;160.924,12;;;;;;;;;
2020;Jawa Tengah;Kab. Jepara;254.418,30;55,08;5,29;11,48;19,63;1,26;2,12;1,02;1,20;2,92
2020;Jawa Tengah;Kab. Semarang;194.690,09;58,00;5,00;8,90;19,00;2,50;3,20;;2,30;0,50
2020;Jawa Tengah;Kab. Temanggung;181.143,80;28,32;33,98;11,40;10,57;1,37;2,40;1,24;2,25;8,38
2020;Jawa Tengah;Kab. Kendal;148.701,73;51,54;19,88;9,49;11,31;1,29;3,09;0,88;2,07;0,45
2020;Jawa Tengah;Kab. Batang;87.788,12;;;;;;;;;
2020;Jawa Tengah;Kab. Pemalang;142.970,65;40,00;5,00;10,00;25,00;2,00;4,00;5,00;7,00;2,00
2020;Jawa Tengah;Kab. Tegal;371.778,31;39,00;20,80;8,70;14,50;5,20;3,50;4,80;1,60;1,90
2020;Jawa Tengah;Kab. Brebes;361.123,52;1,00;80,00;1,00;15,00;1,00;;1,00;;1,00
2020;Jawa Tengah;Kota Magelang;32.709,11;33,70;13,30;18,80;21,50;0,80;1,80;0,50;3,70;5,90
2020;Jawa Tengah;Kota Salatiga;41.620,01;;;;;;;;;
2020;Jawa Tengah;Kota Semarang;466.010,79;60,79;;10,18;17,20;1,22;4,94;1,00;1,79;2,88
2020;D.I. Yogyakarta;Kab. Kulon Progo;63.713,67;67,18;;12,60;17,22;1,68;0,21;;1,11;
2020;D.I. Yogyakarta;Kab. Bantul;192.021,91;60,54;2,80;6,26;24,33;1,66;0,82;0,04;2,34;1,21
2020;D.I. Yogyakarta;Kab. Gunungkidul;131.671,16;;;;;;;;;
2020;D.I. Yogyakarta;Kab. Sleman;256.210,07;;;;;;;;;
2020;D.I. Yogyakarta;Kota Yogyakarta;131.689,26;50,21;10,91;6,18;10,79;2,12;0,68;0,13;10,66;8,32
2020;Jawa Timur;Kab. Pacitan;104.308,04;68,40;2,90;8,30;17,00;0,50;0,20;0,20;0,50;2,00
2020;Jawa Timur;Kab. Ponorogo;127.432,45;;;;;;;;;
2020;Jawa Timur;Kab. Trenggalek;109.536,65;32,00;3,00;31,00;29,00;1,00;1,00;1,00;1,00;1,00
2020;Jawa Timur;Kab. Blitar;154.237,67;70,85;1,00;12,45;7,50;0,90;1,94;0,52;0,92;3,92
2020;Jawa Timur;Kab. Lumajang;183.033,37;42,48;17,52;7,71;18,20;1,16;3,28;1,46;1,52;6,67
2020;Jawa Timur;Kab. Bondowoso;104.819,19;60,22;2,32;7,63;25,30;1,20;1,13;1,20;1,00;
2020;Jawa Timur;Kab. Situbondo;94.665,76;;;;;;;;;
2020;Jawa Timur;Kab. Probolinggo;167.335,13;20,00;32,00;16,60;16,90;0,40;0,50;12,00;0,20;1,40
2020;Jawa Timur;Kab. Sidoarjo;396.476,90;70,30;1,40;8,50;11,00;0,20;1,10;0,20;0,50;6,80
2020;Jawa Timur;Kab. Jombang;192.437,05;;;;;;;;;
2020;Jawa Timur;Kab. Nganjuk;154.373,54;7,46;54,13;2,71;6,41;0,23;9,62;0,25;0,74;18,45
2020;Jawa Timur;Kab. Magetan;101.944,50;;;;;;;;;
2020;Jawa Timur;Kab. Ngawi;133.778,92;38,30;3,80;10,40;30,60;2,40;2,30;3,70;3,50;5,10
2020;Jawa Timur;Kab. Tuban;179.991,08;58,52;15,32;5,78;11,02;0,17;1,62;0,10;1,33;6,14
2020;Jawa Timur;Kab. Gresik;119.648,37;40,00;1,00;11,00;16,00;2,00;1,00;1,00;1,00;27,00
2020;Jawa Timur;Kab. Pamekasan;99.350,12;;;;;;;;;
2020;Jawa Timur;Kab. Sumenep;132.788,73;63,86;1,35;7,61;13,18;;1,31;0,29;0,96;11,44
2020;Jawa Timur;Kota Kediri;55.091,09;;;;;;;;;
2020;Jawa Timur;Kota Blitar;27.219,69;53,00;13,60;5,20;9,10;0,80;2,90;3,00;3,40;9,00
2020;Jawa Timur;Kota Malang;247.389,19;;;;;;;;;
2020;Jawa Timur;Kota Probolinggo;34.949,48;59,25;4,81;10,87;18,38;0,87;0,93;1,38;1,07;2,44
2020;Jawa Timur;Kota Pasuruan;48.394,73;10,11;6,40;1,35;6,06;0,07;0,67;0,07;0,13;75,14
2020;Jawa Timur;Kota Mojokerto;23.790,34;75,00;5,50;7,50;3,00;1,80;4,00;1,20;0,50;1,50
2020;Jawa Timur;Kota Madiun;43.133,55;81,00;0,50;8,00;4,00;3,00;1,00;1,00;1,00;0,50
2020;Jawa Timur;Kota Surabaya;811.255,10;54,31;1,61;14,63;19,44;0,48;1,47;2,33;1,12;4,61
2020;Banten;Kab. Lebak;187.706,21;30,00;12,00;10,00;15,00;8,00;5,00;5,00;10,00;5,00
2020;Banten;Kab. Serang;414.581,97;63,01;;9,13;20,02;1,21;0,24;;1,83;4,56
2020;Banten;Kota Cilegon;136.458,00;27,37;;27,68;41,41;;;;7,81;
2020;Banten;Kota Serang;190.440,06;65,00;4,00;8,00;20,00;0,50;0,75;0,50;0,25;1,00
2020;Banten;Kota Tangerang Selatan;390.753,87;35,63;14,08;13,45;17,37;0,38;0,67;0,48;0,85;17,09
2020;Bali;Kab. Jembrana;60.115,32;11,22;30,88;11,10;22,10;2,10;7,00;7,00;2,70;5,90
2020;Bali;Kab. Tabanan;84.247,48;5,00;39,00;37,00;42,00;;;;2,00;
2020;Bali;Kab. Badung;102.654,16;16,00;33,90;5,96;27,61;2,63;2,16;0,67;0,99;10,08
2020;Bali;Kab. Gianyar;160.182,08;;58,73;10,89;17,08;3,15;0,76;0,74;;8,65
2020;Bali;Kab. Bangli;39.777,41;15,00;67,00;2,00;3,11;11,00;0,09;0,50;1,20;0,10
2020;Bali;Kab. Karangasem;91.067,50;;;;;;;;;
2020;Bali;Kab. Buleleng;124.791,86;2,99;62,57;5,63;10,18;2,82;5,33;4,55;3,33;2,60
2020;Bali;Kota Denpasar;242.088,55;70,00;6,00;2,00;15,00;;1,00;1,00;;5,00
2020;Nusa Tenggara Barat;Kab. Lombok Timur;176.454,72;36,00;23,00;3,50;19,00;7,00;4,00;3,00;4,00;0,50
2020;Nusa Tenggara Barat;Kab. Lombok Utara;26.765,44;;;;;;;;;
2020;Nusa Tenggara Timur;Kab. Sumba Tengah;9.360,28;44,00;13,00;11,00;15,00;2,00;3,00;2,00;2,00;8,00
2020;Nusa Tenggara Timur;Kota Kupang;79.382,39;27,40;15,20;13,40;19,80;6,50;3,60;2,15;3,30;8,65
2020;Kalimantan Barat;Kab. Sambas;100.182,28;40,00;5,60;14,20;25,00;0,30;1,00;0,90;2,00;11,00
2020;Kalimantan Barat;Kab. Mempawah;26.248,50;10,00;25,00;25,00;20,00;10,00;3,00;2,00;2,00;3,00
2020;Kalimantan Barat;Kab. Sanggau;87.137,36;56,21;13,61;4,73;7,10;;;;2,96;15,39
2020;Kalimantan Barat;Kab. Ketapang;94.503,79;28,00;4,00;9,00;42,00;2,00;3,00;2,00;1,00;9,00
2020;Kalimantan Barat;Kab. Melawi;34.184,59;;;;;;;;;
2020;Kalimantan Barat;Kota Pontianak;140.823,35;83,00;1,50;7,20;6,00;2,00;;0,10;;0,20
2020;Kalimantan Barat;Kota Singkawang;41.331,69;51,61;1,49;1,57;39,22;1,90;1,73;;1,32;1,16
2020;Kalimantan Tengah;Kab. Kotawaringin Barat;45.685,01;50,00;5,00;10,00;12,00;2,00;2,00;2,00;1,00;16,00
2020;Kalimantan Tengah;Kab. Kotawaringin Timur;94.086,47;45,05;5,00;7,26;20,26;1,82;4,04;1,18;4,33;11,06
2020;Kalimantan Tengah;Kab. Kapuas;75.850,29;37,50;20,00;13,20;12,00;0,30;1,00;;1,00;15,00
2020;Kalimantan Tengah;Kab. Barito Utara;19.084,10;30,00;12,00;14,00;20,00;5,00;5,00;2,00;2,00;10,00
2020;Kalimantan Tengah;Kab. Katingan;16.579,09;56,98;2,06;13,17;14,34;4,02;1,78;3,14;3,28;0,95
2020;Kalimantan Tengah;Kab. Sukamara;9.426,64;;;;;;;;;
2020;Kalimantan Tengah;Kab. Pulang Pisau;23.662,95;23,51;26,74;13,31;25,13;3,19;2,41;0,83;1,79;3,09
2020;Kalimantan Tengah;Kab. Barito Timur;16.531,43;32,00;9,00;7,00;37,00;1,00;5,00;6,50;1,20;1,30
2020;Kalimantan Tengah;Kota Palangkaraya;52.570,77;70,05;1,40;7,14;15,14;0,67;1,30;0,90;1,01;2,39
2020;Kalimantan Selatan;Kab. Barito Kuala;33.981,46;59,50;9,50;10,50;12,00;3,10;1,90;0,50;2,00;1,00
2020;Kalimantan Selatan;Kab. Tapin;28.035,94;50,24;3,58;10,50;33,40;0,48;0,88;0,15;0,12;0,64
